loan_grade,total_loans,defaults,default_rate,avg_int_rate,avg_loan_amnt,total_volume
A,10703,1066,0.09959824348313558,7.343368214519295,8545.702139587032,91464650
B,10384,1695,0.16323189522342066,10.995162750385209,9990.646667950694,103742875
C,6436,1336,0.20758234928527036,13.466183965195773,9220.517402113113,59343250
D,3620,2138,0.5906077348066299,15.356342541436463,10855.759668508288,39297850
E,963,621,0.6448598130841121,16.992170301142263,12919.91173416407,12441875
F,241,170,0.7053941908713693,18.60085062240664,14717.323651452281,3546875
G,64,63,0.984375,20.244375,17195.703125,1100525
